country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Togo,Togo,TG,,,Maritime,,Zio,,Bolou Kpeta,Africa/Lome,UTC+0.0,6.44364133330721,1.12491233144017
Togo,Togo,TG,,,Maritime,,Zio,,Dalave,Africa/Lome,UTC+0.0,6.35044145916133,1.26367696679886
Togo,Togo,TG,,,Maritime,,Zio,,Davie,Africa/Lome,UTC+0.0,6.35433282844128,1.17130654189271
Togo,Togo,TG,,,Maritime,,Zio,,Djagble,Africa/Lome,UTC+0.0,6.24004093871694,1.28182487547679
Togo,Togo,TG,,,Maritime,,Zio,,Game,Africa/Lome,UTC+0.0,6.74631879184579,1.17321197811106
Togo,Togo,TG,,,Maritime,,Zio,,Gape-Centre,Africa/Lome,UTC+0.0,6.59688741317717,1.0677411818997
Togo,Togo,TG,,,Maritime,,Zio,,Gape Kpodji,Africa/Lome,UTC+0.0,6.70268221237571,0.952109047094416
Togo,Togo,TG,,,Maritime,,Zio,,Gbatope,Africa/Lome,UTC+0.0,6.49413820590948,1.28600872024835
Togo,Togo,TG,,,Maritime,,Zio,,Gblainvie,Africa/Lome,UTC+0.0,6.50099496597816,1.12651417202391
Togo,Togo,TG,,,Maritime,,Zio,,Kovie,Africa/Lome,UTC+0.0,6.33513442394617,1.08463160227291
Togo,Togo,TG,,,Maritime,,Zio,,Kpome,Africa/Lome,UTC+0.0,6.33230833238575,1.33884171438504
Togo,Togo,TG,,,Maritime,,Zio,,Mission-Tove,Africa/Lome,UTC+0.0,6.29782282948582,1.12089145369278
Togo,Togo,TG,,,Maritime,,Zio,,Tsevie,Africa/Lome,UTC+0.0,6.48219622996607,1.2122570583433
Togo,Togo,TG,,,Maritime,,Zio,,Wli,Africa/Lome,UTC+0.0,6.39738604027025,1.12705829079492
Togo,Togo,TG,,,Plateaux,,Agou,,Adjahun Fiagbe,Africa/Lome,UTC+0.0,6.76024831612504,0.734903551620916
Togo,Togo,TG,,,Plateaux,,Agou,,Adzakpa,Africa/Lome,UTC+0.0,6.61516996438979,0.77009663381414
Togo,Togo,TG,,,Plateaux,,Agou,,Agotime Nord,Africa/Lome,UTC+0.0,6.69637707690099,0.691631782760021
Togo,Togo,TG,,,Plateaux,,Agou,,Agou-Akplolo,Africa/Lome,UTC+0.0,6.91395803265033,0.79209219953204
Togo,Togo,TG,,,Plateaux,,Agou,,Agou Agbetiko/Agou Dzidjole,Africa/Lome,UTC+0.0,6.92461825460189,0.737274014522009
Togo,Togo,TG,,,Plateaux,,Agou,,Agou Atigbe,Africa/Lome,UTC+0.0,6.79318191698986,0.743796567940964
Togo,Togo,TG,,,Plateaux,,Agou,,Agou Gadzepe,Africa/Lome,UTC+0.0,6.84892272503506,0.697555657527529
